At time 0, Job1 arrives.
At time 504, Job139 arrives.
At time 506, Job13 arrives.
At time 507, Job138 arrives.
At time 508, Job137 arrives.
At time 510, Job18 finished I/O at Disk 2.
At time 510, Job5 finishes at CPU.
At time 510, Job145 arrives.
At time 512, Job134 arrives.
At time 513, Job135 arrives.
At time 513, Job146 arrives.
At time 515, Job142 arrives.
At time 517, Job133 arrives.
At time 517, Job141 arrives.
At time 518, Job136 arrives.
At time 518, Job148 arrives.
At time 519, Job147 arrives.
At time 522, Job23 finishes at CPU.
At time 525, Job18 arrives.
At time 526, Job5 arrives at Disk.
At time 526, Job153 arrives.
At time 527, Job154 arrives.
At time 530, Job143 arrives.
At time 531, Job158 arrives.
At time 532, Job144 arrives.
At time 533, Job156 arrives.
At time 533, Job157 arrives.
At time 538, Job150 arrives.
At time 538, Job152 arrives.
At time 538, Job155 arrives.
At time 538, Job23 arrives at Disk.
At time 539, Job151 arrives.
At time 539, Job163 arrives.
At time 540, Job25 finishes at CPU.
At time 542, Job161 arrives.
At time 546, Job165 arrives.
At time 547, Job149 arrives.
At time 548, Job164 arrives.
At time 549, Job168 arrives.
At time 552, Job170 arrives.
At time 552, Job17 finished I/O at Disk 2.
At time 553, Job159 arrives.
At time 553, Job24 finishes at CPU.
At time 554, Job171 arrives.
At time 558, Job176 arrives.
At time 559, Job160 arrives.
At time 560, Job173 arrives.
At time 564, Job162 arrives.
At time 565, Job6 finishes at CPU.
At time 566, Job166 arrives.
At time 567, Job179 arrives.
At time 568, Job182 arrives.
At time 571, Job175 arrives.
At time 571, Job183 arrives.
At time 572, Job169 arrives.
At time 573, Job167 arrives.
At time 574, Job172 arrives.
At time 576, Job186 arrives.
At time 577, Job28 finishes at CPU.
At time 578, Job181 arrives.
At time 579, Job25 arrives at Disk.
At time 579, Job184 arrives.
At time 580, Job174 arrives.
At time 580, Job177 arrives.
At time 582, Job188 arrives.
At time 587, Job178 arrives.
At time 588, Job17 arrives.
At time 588, Job24 arrives at Disk.
At time 592, Job180 arrives.
At time 592, Job6 arrives at Disk.
At time 592, Job192 arrives.
At time 593, Job187 arrives.
At time 593, Job191 arrives.
At time 593, Job26 finishes at CPU.
At time 593, Job19 finished I/O at Disk 2.
At time 597, Job193 arrives.
At time 598, Job28 arrives at Disk.
At time 600, Job185 arrives.
At time 600, Job189 arrives.
At time 602, Job190 arrives.
At time 603, Job26 arrives at Disk.
At time 604, Job195 arrives.
At time 604, Job196 arrives.
At time 604, Job205 arrives.
At time 605, Job197 arrives.
At time 606, Job194 arrives.
At time 608, Job200 arrives.
At time 609, Job198 arrives.
At time 609, Job206 arrives.
At time 612, Job199 arrives.
At time 613, Job209 arrives.
At time 615, Job201 arrives.
At time 615, Job2 finishes at CPU.
At time 618, Job214 arrives.
At time 620, Job216 arrives.
At time 621, Job202 arrives.
At time 622, Job212 arrives.
At time 625, Job204 arrives.
At time 628, Job220 arrives.
At time 629, Job210 arrives.
At time 630, Job19 arrives.
At time 630, Job217 arrives.
At time 631, Job203 arrives.
At time 633, Job27 finishes at CPU.
At time 634, Job211 arrives.
At time 636, Job207 arrives.
At time 636, Job218 arrives.
At time 636, Job224 arrives.
At time 637, Job208 arrives.
At time 637, Job2 arrives at Disk.
At time 638, Job223 arrives.
At time 640, Job213 arrives.
At time 641, Job226 arrives.
At time 642, Job229 arrives.
At time 645, Job30 finishes at CPU.
At time 647, Job215 arrives.
At time 647, Job27 arrives at Disk.
At time 650, Job219 arrives.
At time 650, Job221 arrives.
At time 651, Job222 arrives.
At time 651, Job231 arrives.
At time 654, Job233 arrives.
At time 657, Job225 arrives.
At time 658, Job237 arrives.
At time 659, Job234 arrives.
At time 660, Job34 finishes at CPU.
At time 660, Job34 exits.
At time 661, Job235 arrives.
